cuenta_id,nombre,tipo,edad,saldo_inicial,tasa_mensual,interes,saldo_final,anomalia,observacion
101,Jane Smith,hipoteca,30,10000.00,0.00900,90.00,10090.00,NO,
101,Charlie Green,hipoteca,35,12000.00,0.00900,108.00,12108.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
101,Alice Brown,hipoteca,25,8000.00,0.00900,72.00,8072.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
101,Diana Prince,prestamo,40,12000.00,0.01500,180.00,12180.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
101,John Doe,hipoteca,30,8000.00,0.00900,72.00,8072.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
101,John Doe,prestamo,35,10000.00,0.01500,150.00,10150.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos; Titular repetido con los mismos datos en otra cuenta
101,Diana Prince,ahorro,35,8000.00,0.00500,40.00,8040.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
101,Bob Johnson,hipoteca,30,12000.00,0.00900,108.00,12108.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
101,Jane Smith,hipoteca,45,7000.00,0.00900,63.00,7063.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos; Titular repetido con los mismos datos en otra cuenta
102,Bob Johnson,hipoteca,35,12000.00,0.00900,108.00,12108.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
102,Charlie Green,ahorro,40,12000.00,0.00500,60.00,12060.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
102,Alice Brown,hipoteca,35,5000.00,0.00900,45.00,5045.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos; Titular repetido con los mismos datos en otra cuenta
102,Diana Prince,hipoteca,30,12000.00,0.00900,108.00,12108.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
102,Alice Brown,hipoteca,30,12000.00,0.00900,108.00,12108.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
102,Charlie Green,prestamo,35,10000.00,0.01500,150.00,10150.00,NO,
102,Alice Brown,prestamo,45,8000.00,0.01500,120.00,8120.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
102,Diana Prince,hipoteca,35,5000.00,0.00900,45.00,5045.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos
102,Jane Smith,prestamo,40,5000.00,0.01500,75.00,5075.00,SI,La cuenta aparece mas de una vez en el archivo con datos distintos; Titular repetido con los mismos datos en otra cuenta
